Alfalfa
Allium
Borage
Burdock
Calendula
Cattail
Chickweed
Chicory
Chive blossoms
Coltsfoot
Common mallow
Common milkweed
Common vetch
Common yarrow
Coneflower
Cow parsley
Cowslip
Crimson clover
Crithmum maritimum
Daisy
Dandelion
Fennel
Fireweed
Gardenia
Garlic mustard
Geranium
Ground ivy
Harebell
Henbit
Knapweed
Meadowsweet
Mullein
Pickerelweed
Ramsons
Red Clover
